,Standing screen display size,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Average Battery Life (in hours),Price,Brand,Series,Item model number,Operating System,Item Weight,Product Dimensions,Item Dimensions  LxWxH,Color,Processor Brand,Processor Count,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries,Screen Resolution,Hardware Platform,Hard Drive Rotational Speed,Graphics Card Ram Size,Rear Webcam Resolution,Voltage,Package Dimensions,National Stock Number,Manufacturer,ASIN,Date First Available
412,15.6 Inches,1920 x 1080 Pixels,4.2 GHz core_i5,16 GB DDR4,3200 MHz,512 GB SSD,Intel Iris Xe Graphics,Intel,,Bluetooth,,,,1099.99,Dell,Dell Inspiron,Dell 15 5502,Windows 10,3.78 pounds,9.23 x 14.02 x 0.7 inches,9.23 x 14.02 x 0.7 inches,Natural Silver,Intel,4,DDR4 SDRAM,512 GB,Serial ATA,,Battery Powered,,,PC,,,,,,,,,
413,14 Inches,1366 x 768 Pixels,3 GHz core_i3,8 GB DDR4,4.1 GHz,256 GB SSD,Intel UHD,Intel,Integrated,802.11b/n/ac,,,9 Hours,468.0,HP,HP 14-dq2038ms,14-dq2038ms,Windows 10 S,4.39 pounds,12.76 x 8.86 x 0.71 inches,12.76 x 8.86 x 0.71 inches,Natural Silver,Intel,2,DDR4 SDRAM,256 GB,Solid State,,AC & Battery,1 Lithium Polymer batteries required. (included),1366x768,PC,,,5 MP,,,,,,
414,13.3 Inches,1920 x 1080 Pixels,2.7 GHz intel_core_m,8 GB LPDDR3,2.7 GHz,256 GB ssd,Intel HD Graphics 515,Intel,Integrated,"Bluetooth, 802.11ac",,1,6 Hours,425.0,Bmax,Y13Pro,Y13Pro,Windows 10,2.8 pounds,12.1 x 8.2 x 0.6 inches,12.1 x 8.2 x 0.6 inches,Y13Pro/13.3inch,Intel,2,DDR4 SDRAM,256 GB,USB 3.0,No,AC & Battery,1 Lithium Polymer batteries required. (included),1920x1080,PC,,,2 MP,,,,,,
415,14 Inches,1366x768 Pixels,1.1 GHz celeron_n4000,4 GB DDR4,2.6 GHz,64 GB SSD,Intel UHD Graphics 600,Intel,,802.11ac,1,,11 Hours,273.0,HP,14-stream,14CB171,Windows 10 S,3.17 pounds,13.27 x 8.9 x 0.7 inches,13.27 x 8.9 x 0.7 inches,,Intel,2,DDR4 SDRAM,64 GB,Solid State,,AC & Battery,1 Lithium ion batteries required. (included),1366x768,PC,,,,,,,,,
416,14 Inches,1920 x 1080 Pixels,3.3 GHz pentium,8 GB DDR4,,192 GB SSD,Intel UHD Graphics,Intel,,"Bluetooth, 802.11a",,,,419.0,HP,Premium,Premium,Windows 10,3.2 pounds,12.8 x 8.9 x 0.7 inches,12.8 x 8.9 x 0.7 inches,Natural Silver,Intel,4,DDR4 SDRAM,,Solid State,,"Corded Electric, Battery Powered",,,PC,,,,,,,,,
417,14 Inches,1366x768,2.4 GHz Athlon_64_X2_Dual_Core_3800_plus,4 GB DDR4,3.5 GHz,128 GB PCIe SSD,AMD Radeon Graphics,AMD,,Bluetooth,,,,399.0,Lenovo,V,14,Windows 10 Pro,3.53 pounds,20 x 9.49 x 0.78 inches,20 x 9.49 x 0.78 inches,,AMD,2,DDR4 SDRAM,128 GB,PCIE x 4,,Battery Powered,,1366x768,PC,5400 RPM,,,,,,,,
418,11.6 Inches,1366 x 768 Pixels,2.4 GHz celeron_n3350,4 GB DDR4,1 GHz,32 GB Embedded MultiMediaCard,Intel HD Graphics 500,Intel,Integrated,"Bluetooth, 802.11a/b/g/n/ac",,3,10 Hours,166.9,ASUS,Chromebook C223,C223NA-DH02,Chrome OS,2.6 pounds,11.5 x 7.8 x 0.8 inches,11.5 x 7.8 x 0.8 inches,Grey,Intel,2,DDR4 SDRAM,32,Solid State,No Optical Drive,,1 Lithium Metal batteries required. (included),1366 x 768,PC,10000 RPM,4 GB,,20 Volts,,,,,
419,17.3 Inches,1600 x 900 Pixels,1 GHz core_i5,16 GB DDR4,3.6 GHz,256 GB SSD,Intel UHD Graphics,Intel,,"Bluetooth, 802.11a",,,,809.99,HP,HP laptop,BY305,Windows 10,5.44 pounds,16.33 x 10.72 x 0.96 inches,16.33 x 10.72 x 0.96 inches,Pale Gold,Intel,4,DDR4 SDRAM,512 GB,PCIE x 4,,"Corded Electric, Battery Powered",,,PC,,,,,,,,,
420,14 Inches,1920x1080 Pixels,2.1 GHz ryzen_5_3500u,8 GB DDR4,,512 GB SSD,AMD Radeon,AMD,,802.11ac,,,9 Hours,599.0,ASUS,ASUS VivoBook,ASUS VivoBook,Windows 10,3.75 pounds,10.08 x 16.02 x 0.84 inches,10.08 x 16.02 x 0.84 inches,Gray,AMD,4,DDR4 SDRAM,256 GB,Solid State,,Battery Powered,,,PC,,,,,,,,,
421,14 Inches,1920x1080 Pixels,4.2 GHz core_i5,16 GB DDR4,3200 MHz,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,Bluetooth,,,14 Hours,839.99,Lenovo,Lenovo Ideapad,IdeaPad 5,Windows 10 Home,3.04 pounds,8.33 x 12.66 x 0.75 inches,8.33 x 12.66 x 0.75 inches,Gray,Intel,6,DDR4 SDRAM,512 GB,Solid State,,Battery Powered,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
422,14 Inches,1920 x 1080 Pixels,2.3 GHz amd_r_series,16 GB DDR4,,1 TB SSD,NVIDIA GeForce GTX 1650,NVIDIA,Dedicated,802.11ax,,,,1177.99,ASUS,ASUS ROG,ASUS ROG,Windows 10 Home,3.64 pounds,12.8 x 8.7 x 0.7 inches,12.8 x 8.7 x 0.7 inches,Eclipse Gray,AMD,8,DDR DRAM,512 GB,Solid State,,Battery Powered,4 Lithium ion batteries required. (included),,PC,,,,,,,,,
423,17.3 Inches,1600x900 Pixels,1 GHz core_i5_1035g1,8 GB DDR4,3.6 GHz,1 TB HDD,Intel UHD Graphics,Intel,Integrated,Bluetooth,,,,655.0,Lenovo,Lenovo Ideapad,Lenovo IdeaPad 3,Windows 10 Home,4.85 pounds,15.83 x 11.07 x 0.78 inches,15.83 x 11.07 x 0.78 inches,Abyss Blue,Intel,4,GDDR4,,Serial ATA,,,,,PC,,,,,,,,,
424,17.3 Inches,1920 x 1080 Pixels,2.2 GHz core_i7,16 GB DDR4,2933 MHz,1 TB SSD,NVIDIA® GeForce RTX™ 3060,NVIDIA,NVIDIA RTX3060,Bluetooth,,3,,2235.0,Alienware,Alienware m17 R4,AWM17R4-7832WHT-PUS,Windows 10 Home,6.55 pounds,11.59 x 15.74 x 0.87 inches,11.59 x 15.74 x 0.87 inches,White,Intel,8,DDR4 SDRAM,1,Solid State,No Optical Drive,,1 Lithium ion batteries required. (included),1920 x 1080 pixels,PC,,6 GB,0.92 MP,11.4 Volts (DC),,,,,
425,15.6 Inches,1920x1080 Pixels,1.6 GHz core_i5,16 GB SO-DIMM DDR4,,512 GB SSD,Intel UHD Graphics 620,Intel,Integrated,802.11ac,1,,2 	years,1116.99,Lenovo,ThinkPad E15 Business Laptop,ThinkPad E15,Windows 10 Pro,3.75 pounds,14.48 x 9.64 x 0.74 inches,14.48 x 9.64 x 0.74 inches,Black,Intel,4,DDR4 SDRAM,512 GB,Solid State,,AC & Battery,1 Lithium ion batteries required. (included),1920x1080,PC,,,1.2 MP,,,,,,
426,15.6 Inches,1920x1080 Pixels,4.2 GHz core_i5,16 GB SDRAM,1.6 GHz,512 GB SSD,Intel UHD Graphics,Intel,,802.11ac,,,11 Hours,1129.69,Lenovo,Thinkpad,Lenovo thinkpad,Windows 10 Pro,3.7 pounds,14.5 x 9.7 x 0.7 inches,14.5 x 9.7 x 0.7 inches,Black,Intel,4,DDR4 SDRAM,512 GB,Solid State,,AC & Battery,1 Lithium ion batteries required. (included),1920x1080,PC,,,,,,,,,
427,15.6 Inches,1920x1080,2.1 GHz amd_r_series,8 GB DDR4,3.5 GHz,256 GB PCIe SSD,AMD Radeon RX Vega 8,AMD,,Bluetooth,,,,549.0,Dell,Inspiron,15 3000,Windows 10 S,4.04 pounds,14.96 x 10.16 x 0.78 inches,14.96 x 10.16 x 0.78 inches,,AMD,4,DDR4 SDRAM,256 GB,PCIE x 4,,Battery Powered,,1920x1080,PC,,,,,,,,,
428,14 Inches,1366 x 768 Pixels,3.2 GHz athlon_64,8 GB DDR4,2400 MHz,128 GB SSD,AMD Radeon,AMD,,802.11ac,,,,439.0,HP,14-DK1003DX,14-DK1003DX-500,Windows 10,3.3 pounds,12.8 x 8.9 x 0.8 inches,12.8 x 8.9 x 0.8 inches,Jet Black,AMD,2,DDR4 SDRAM,128 GB,Solid State,,AC & Battery,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
429,15.6 Inches,1920 x 1080 Pixels,2.3 GHz ryzen_5_4500u,8 GB DDR4,,512 GB SSD,AMD Radeon Graphics,AMD,,"Bluetooth, 802.11a",,,,660.0,HP,192N4UA,15-eh0090wm,Windows 10,3.86 pounds,14.18 x 9.21 x 0.7 inches,14.18 x 9.21 x 0.7 inches,,AMD,6,DDR4 SDRAM,512 GB,Solid State,,,1 Lithium ion batteries required.,1920x1080,PC,,,,,,,,,
430,14 Inches,1366 x 768,1.6 GHz amd_r_series,4 GB SO-DIMM,2400 MHz,eMMC,AMD Radeon R4 Series,AMD,Integrated,802.11ac,,2,5 Hours,259.0,Lenovo,IdeaPad,S150,Windows 10,3.1 pounds,9.3 x 12.9 x 0.8 inches,9.3 x 12.9 x 0.8 inches,,AMD,2,SODIMM,64,,No Optical Drive,Battery Powered,1 Lithium Metal batteries required. (included),1366x768,PC,,2 MB,,,,,,,
431,15.6 Inches,1920 x 1080 Pixels,2.5 hertz celeron,8 GB DDR4,,256 GB SSD,Intel HD Graphics 600,,,,,,,356.0,Yonader,,Yonader-LP-8256,Windows 10,3.3 pounds,,,,Intel Celeron Processor J4115,1,DDR4 SDRAM,256 GB,Serial ATA-300,,,,,PC,,,,,16.57 x 12.05 x 3.74 inches,,,,
432,14 Inches,1366 x 768,1.6 GHz amd_r_series,4 GB SO-DIMM,2400 MHz,eMMC,AMD Radeon R4 Series,AMD,Integrated,802.11ac,,2,5 Hours,259.0,Lenovo,IdeaPad,S150,Windows 10,3.1 pounds,9.3 x 12.9 x 0.8 inches,9.3 x 12.9 x 0.8 inches,,AMD,2,SODIMM,64,,No Optical Drive,Battery Powered,1 Lithium Metal batteries required. (included),1366x768,PC,,2 MB,,,,,,,
433,15.6 Inches,1920 x 1080 Pixels,2.5 hertz celeron,8 GB DDR4,,256 GB SSD,Intel HD Graphics 600,,,,,,,356.0,Yonader,,Yonader-LP-8256,Windows 10,3.3 pounds,,,,Intel Celeron Processor J4115,1,DDR4 SDRAM,256 GB,Serial ATA-300,,,,,PC,,,,,16.57 x 12.05 x 3.74 inches,,,,
434,13.3 Inches,1920 x 1080 Pixels,1.3 GHz apple_ci7,8 GB DDR4,,flash memory solid state,,Intel,Integrated,"Bluetooth, 802.11ax",,,20 Hours,1089.0,Samsung Electronics,Galaxy Book Flex,NP930QCG-K01US,Windows 10 Home,2.56 pounds,11.91 x 7.99 x 0.51 inches,11.91 x 7.99 x 0.51 inches,Royal Blue,Intel,1,,512,USB-C,No Optical Drive,Battery Powered,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
435,15.6 Inches,1920x1080,1 GHz core_i5,16 GB DDR4,3.6 GHz,256 GB SSD,Intel UHD Graphics,Intel,,,,,10 Hours,549.9,Gateway,Notebook,GWTN,Windows 10,4.1 pounds,20 x 9.6 x 0.8 inches,20 x 9.6 x 0.8 inches,Rose Gold,Intel,4,DDR4 SDRAM,256 GB,Solid State,,Battery Powered,,1920x1080,PC,,,,,,,,,
436,15.6 Inches,1366 x 768 Pixels,1.8 GHz amd_r_series,16 GB DDR4,1.8 GHz,512 GB SSD,AMD Radeon R7 Series,AMD,,Bluetooth,,,7 Hours,814.99,HP,Dell Precision,HP,Windows 10 Home,3.75 pounds,,,,AMD,8,DDR4 SDRAM,512 GB,Solid State,,Battery Powered,,,PC,,,,,19.09 x 12.09 x 2.76 inches,,,,
437,15.6 Inches,1920 x 1080 Pixels,2.6 GHz core_i7_family,8 GB DDR4,,512 GB SSD,NVIDIA GeForce® GTX 1660 Ti,NVIDIA,Dedicated,Bluetooth,,,7 Hours,959.98,MSI Inc.,MSI GF65 Thin i7,MSI GF65 Thin,Windows 10 Home,4.1 pounds,,,Black,Intel,6,DDR4 SDRAM,512 GB,Solid State,,Battery Powered,1 Lithium ion batteries required. (included),,PC,,,,,20 x 12.9 x 4 inches,,,,
438,14 Inches,1920x1080 Pixels,2.8 GHz core_i7,32 GB SDRAM,,1000 GB SSD,Intel® Iris® Xe Graphics,Intel,,Bluetooth,,,5 Hours,1148.88,Dell,Dell Inspiron,DELL,Windows 10,3.36 pounds,12.7 x 8.74 x 0.71 inches,12.7 x 8.74 x 0.71 inches,Gray,Intel,4,DDR4 SDRAM,,Serial ATA,,Battery Powered,1 Lithium ion batteries required. (included),1920x1080,PC,,,2 MP,,,,,,
439,15.6 Inches,1920 x 1080 Pixels,2.1 GHz ryzen_5,8 GB DDR4,,256 GB SSD,AMD Radeon Graphics,AMD,,"Bluetooth, 802.11ac",,,,599.99,Lenovo,Lenovo Ideapad,Laptop for College Student/Office/School,Windows 10 Home,5.46 pounds,,,Sand,AMD,6,DDR4 SDRAM,256 GB,Solid State,,,,,PC,,,,,20.98 x 13.07 x 2.83 inches,,,,
440,14 Inches,1366 x 768 Pixels,2.6 GHz celeron_n4000,4 GB SDRAM,2.6 GHz,32 GB eMMC,Intel,Intel,Integrated,"Bluetooth, 802.11ac",,,13 Hours,249.0,HP,Hp,HP,Chrome OS,3.24 pounds,12.82 x 8.6 x 0.7 inches,12.82 x 8.6 x 0.7 inches,,Intel,2,DDR4 SDRAM,32 GB,Unknown,,AC & Battery,1 Lithium ion batteries required. (included),1366x768,PC,,,,,,,,,
441,15.6 Inches,1920 x 1080 Pixels,1.3 GHz core_i7_1065g7,12 GB DDR4,3.9 GHz,256 GB SSD,Intel Iris Plus Graphics,Intel,Integrated,802.11a/g/n/ac,,3,"8.0, 10.0 Hours",799.0,HP,15t-i7,15t-i7,Windows 10 Home,3.72 pounds,14.2 x 9.8 x 0.78 inches,14.2 x 9.8 x 0.78 inches,,Intel,4,DDR4 SDRAM,256 GB,Solid State,No Optical Drive,AC & Battery,,1920x1080,PC,,,,,,,,,
442,15.6 Inches,1366 x 768 Pixels,1.8 GHz celeron,4 GB DDR4,,1 TB SSD,Intel HD Graphics 610,Intel,,Bluetooth,,,,398.0,Dell,Dell,Dell Inspiron,Windows 10 Home,4.48 pounds,14.96 x 10.16 x 0.78 inches,14.96 x 10.16 x 0.78 inches,Black,Intel,2,DDR4 SDRAM,128 GB,Solid State,,Battery Powered,,,PC,,,,,,,,,
443,15.6 Inches,1920 x 1080,2.6 GHz core_i5,8 GB DDR4,2666 MHz,256 GB flash_memory_solid_state,Intel® UHD Graphics,Intel,,Bluetooth,,,,564.0,Dell,Dell Inspiron 3593,,Windows 10,6.14 pounds,14.96 x 10.16 x 0.89 inches,14.96 x 10.16 x 0.89 inches,,Intel,2,DDR4 SDRAM,256 GB,Serial ATA,,,1 A batteries required.,,PC,,,,,,,,,
444,14 Inches,1366x768,1.1 GHz celeron,4 GB DDR4,,32 GB eMMC,Intel HD Graphics 500,Intel,Integrated,"Bluetooth, 802.11b",,2,,299.0,HP,Chromebook,14-ca,Chrome OS,3.37 pounds,13.3 x 8.9 x 0.7 inches,13.3 x 8.9 x 0.7 inches,Grey,Intel,2,DDR4 SDRAM,1,ESATA,No Optical Drive,Battery Powered,,1366x768,PC,,,,,,,,,
445,15.6 Inches,1920x1080 Pixels,1.8 GHz amd_ryzen_7,16 GB DDR4,1.8 GHz,256 GB SSD,Integrated AMD Radeon Graphics,AMD,Integrated,802.11ax,1,,,1047.62,Lenovo,ThinkPad E15 Gen3,ThinkPad E15 Gen3,Windows 10 Pro,3.75 pounds,14.4 x 9.4 x 0.7 inches,14.4 x 9.4 x 0.7 inches,Black,AMD,8,DDR4 SDRAM,,Solid State,,AC & Battery,1 Lithium ion batteries required. (included),1920x1080,PC,,,,,,,,,
446,15.6 Inches,1920x1080,1 GHz 5x86,16 GB DDR4,3.5 GHz,256 GB SSD,AMD Raedon Vega 8 Graphics,AMD,Integrated,Bluetooth,,,10 Hours,519.0,Gateway,Gateway,GWTN,Windows 10 Home,2.48 pounds,20 x 9.6 x 0.8 inches,20 x 9.6 x 0.8 inches,Blue,AMD,2,DDR4 SDRAM,,Solid State,No Optical Drive,Battery Powered,,1920x1080,PC,,,,,,,,,
447,17.3 Inches,1920x1080,1.6 GHz core_i5,8 GB DDR4,3.6 GHz,512 GB PCIe SSD,Intel Iris Xᵉ Graphics,Intel,Dedicated,802.11ac,1,,6 Hours,750.0,HP,Hp,17-by,Windows 10 S,5.4 pounds,16.33 x 10.72 x 0.96 inches,16.33 x 10.72 x 0.96 inches,Silver,Intel,4,DDR4 SDRAM,,PCIE x 4,,AC & Battery,,1920x1080,PC,,,,,,,,,
448,14 Inches,1366 x 768 Pixels,2.6 GHz ryzen_3,16 GB DDR4,3.5 GHz,512 GB SSD,AMD Radeon Vega 3,AMD,,802.11ac,,,,529.0,HP,HP,14-dk,Windows 10 S,4 pounds,13.6 x 8.2 x 0.72 inches,13.6 x 8.2 x 0.72 inches,Silver,AMD,2,DDR4 SDRAM,512 GB,Solid State,,AC & Battery,,1366 x 768,PC,,,,,,,,,
449,14 Inches,1366 x 768 Lines Per Inch,2.6 GHz 1_2GHz_Cortex_A13,4 GB DDR4,2400 MHz,128 GB SSD,AMD Radeonâ¢ Vega 3 Graphics,AMD,,,,,8 Hours,364.97,HP,14-dk1022wm,14-dk1022wm,Windows 10 Home,3.96 pounds,,,,AMD,2,DDR4 SDRAM,128 GB,ATA,,Battery Powered,1 Lithium Polymer batteries required. (included),,PC,,,,,17.68 x 12.13 x 2.68 inches,,,,
450,11.6 Inches,1366x768 Pixels,2.8 GHz celeron_n,4 GB LPDDR4,2.8 GHz,128 GB SSD,UHD Graphics 600,Intel,,802.11bgn,,,5 Hours,249.0,CHUWI,HeroBook Air,HeroBook Air,Windows 10,1.98 pounds,10.91 x 7.46 x 0.68 inches,10.91 x 7.46 x 0.68 inches,,Intel,4,DDR4 SDRAM,,Solid State,,Battery Powered,,1366x768,PC,,,1 MP,,,,,,
451,14,1920 x 1080 Pixels,3.9 GHz apple_ci5,8 GB,,256 GB SSD,Intel Core i5-8265U,Intel,Integrated,,,,,460.0,HP,HP Notebook,14-cf1008ca,Windows 10,4.46 pounds,,,,Intel,1,DIMM,256 GB,Solid State,,Battery Powered,1 Lithium ion batteries required. (included),,PC,,,,,19.2 x 12.1 x 3 inches,,,,
452,13.3 Inches,1920 x 1080 Pixels,4 GHz core_i7_8550u,16 GB,,512 GB m.2 ssd drive,Intel HD 620 with 4K Output,Intel,,802.11ac,,,"8.0, 6.0 Hours",675.0,Emerald Computers,,14626167,Windows 10,2.86 pounds,,,Gun Metal Gray,Intel,8,DDR3L-1600 SDRAM,512 GB,USB 3.0,,Battery Powered,1 Lithium Polymer batteries required. (included),,PC,,,,19 Volts,16.22 x 12.2 x 4.37 inches,,,,
453,15.6 Inches,1920 x 1080 Pixels,2 GHz amd_r_series,8 GB DDR4,2400 MHz,256 GB SSD,AMD Radeon™ Graphics,AMD,,,,,"7.0, 8.0, 5.0 Hours",510.0,HP,,15-ef2127wm,Windows,3 pounds,4 x 14 x 22 inches,4 x 14 x 22 inches,,AMD,4,DDR DRAM,256 GB,Solid State,,Battery Powered,1 Lithium ion batteries required.,,PC,,,,,,,,,
454,11.6 Inches,HD (1366 x 768) Touchscreen Pixels,1.1 GHz celeron,4 GB DDR4,2.6 GHz,64 GB eMMC,Integrated Intel UHD Graphics 600,Intel,Integrated,Bluetooth,,,11 Hours,388.0,Dell,Dell Latitude 3190 2in1 Laptop 13.3,Dell Latitude 3190 Laptop,Windows 10,3.2 pounds,11.96 x 8.18 x 0.84 inches,11.96 x 8.18 x 0.84 inches,,Intel,4,DDR4 SDRAM,64 GB,Solid State,,AC & Battery,,1366x768,PC,,,,,,,,,
455,17.3 Inches,1920 x 1080 Pixels,4.6 GHz apple_ci7,16 GB DDR4,3200 MHz,1 TB,NVIDIA GeForce RTX 3060,NVIDIA,GeForce RTX 3060,"Bluetooth, 802.11ax",,3,,1499.99,ASUS,TUF Gaming F17,TUF706HM-ES76,Windows 10 Home,5.73 pounds,15.71 x 10.59 x 0.94 inches,15.71 x 10.59 x 0.94 inches,Eclipse Gray,Intel,8,DDR4 SDRAM,1,USB,No Optical Drive,,1 Lithium ion batteries required. (included),1920 x 1080 pixels,PC,,6 GB,,20 Volts,,,,,
456,17.3 Inches,1600 x 900,1.3 GHz core_i7,40 GB DDR4,3.9 GHz,2 TB PCIe SSD,Intel HD Graphics 610,Intel,Integrated,Bluetooth,,,,1299.0,ASUS,Vivobook,17 X712,Windows 10,5.07 pounds,20 x 10.99 x 0.98 inches,20 x 10.99 x 0.98 inches,,Intel,4,DDR4 SDRAM,,PCIE x 4,,Battery Powered,,1600x900,PC,,,,,,,,,
457,11.6 Inches,1366 x 768 Pixels,2 GHz mediatek_mt8183,4 GB LPDDR4,,32 GB ssd,MediaTek,,,Bluetooth,,,15 Hours,209.99,Acer,Acer Chromebook,SP311,Chrome OS,2.21 pounds,,,,Mediatek,8,DDR4 SDRAM,32 GB,Solid State,,Battery Powered,1 Lithium Polymer batteries required. (included),,PC,,,,,15.47 x 9.25 x 3.11 inches,,,,
458,15.6 Inches,1920 x 1080 Pixels,1.5 GHz celeron_j3455,6 GB DDR4,2.5 GHz,128 GB SSD,Mali_30,Intel,,802.11abg,1,1,,312.99,Huashe,,CXLY15A,Windows 10,4.63 pounds,,,,Intel,4,DDR2 SDRAM,,IDE,,Battery Powered,,,PC,,,,,17.6 x 11.34 x 2.44 inches,,,,
459,14 Inches,1366 x 768 Pixels,2.4 GHz 1_2GHz_Cortex_A8,8 GB DDR,8 GHz,1 TB 128 GB M.2 SSD,2.4 GHz Intel Core i3,Allwinner,Integrated,"802.11bgn, 802.11b, 802.11b/g",1,1,,459.99,HP,HP,14-CF0014DX,Windows 10,4.3 pounds,32.4 x 22.6 x 2 inches,32.4 x 22.6 x 2 inches,Silver,Intel,2,DDR4 SDRAM,128,Unknown,No Optical Drive,,1 Lithium Metal batteries required. (included),,PC,,,,,,,,,
460,17.3 Inches,1920 x 1080 Pixels,3.9 GHz apple_ci5,8 GB DDR4,3.9,1 TB Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,"Bluetooth, 802.11b/n/ac",2,2,1 days,667.98,ASUS,Vivobook 17 F712FA,F712FA-DB51,Windows 10 Home,6 pounds,15.7 x 11 x 1.1 inches,15.7 x 11 x 1.1 inches,,Intel,4,DDR4 SDRAM,128,Solid State,No Optical Drive,,1 Lithium Metal batteries required. (included),,PC,5400 RPM,8 GB,,,,,,,
461,17 Inches,2560 x 1600 Pixels,2.4 GHz core_i5,16 GB DDR4,,1 TB ssd,Intel Iris Xe Graphics,Intel,,Bluetooth,,,,1359.0,Dell,Dell Inspiron,7706,Windows 10,5.36 pounds,14.95 x 10.49 x 0.76 inches,14.95 x 10.49 x 0.76 inches,Silver,Intel,4,DDR4 SDRAM,1 TB,PCIE x 4,,Battery Powered,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
462,15.6 Inches,1366 x 768,2.1 GHz core_i3_family,8 GB DDR4,2.3 GHz,256 GB PCIe SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,,,,529.0,Lenovo,Ideapad,3,Windows 10 S,4.07 pounds,14.25 x 9.98 x 0.79 inches,14.25 x 9.98 x 0.79 inches,Abyss Blue,Intel,4,DDR4 SDRAM,256,PCIE x 4,No Optical Drive,Battery Powered,,1366x768,PC,,,,,,,,,
463,14 Inches,1920 x 1080,1.6 GHz core_i5,8 GB SDRAM,,256 GB ssd,Intel UHD Graphics,Intel,,802.11ac,,,13 Hours,799.0,Lenovo,Yoga C740 2-in-1,LENOVO,Windows 10,7 ounces,12.7 x 8.4 x 0.7 inches,12.7 x 8.4 x 0.7 inches,Mica,Intel,4,DDR4 SDRAM,256 GB,Serial ATA,,AC & Battery,1 Lithium Polymer batteries required. (included),1920 x 1080,PC,,,1.2 MP,,,,,,
464,14 Inches,1366 x 768 Pixels,2.8 GHz celeron_n4020,4 GB DDR4,2.8 GHz,64 GB SSD,Intel UHD Graphics 600,Intel,,"Bluetooth, 802.11a",,,"9.0, 11.0 Hours",279.99,HP,,14-dq0004dx,Windows 10 S,3.24 pounds,12.76 x 8.86 x 0.71 inches,12.76 x 8.86 x 0.71 inches,Rose Gold,Intel,1,DDR4 SDRAM,64 GB,Solid State,,"Corded Electric, Battery Powered",,,Linux,,,,,,,,,
465,17.3 Inches,1920 x 1080 Pixels,2.5 GHz core_i5,8 GB DDR4,4.5 GHz,512 GB SSD,GeForce GTX 1650Ti,NVIDIA,Dedicated,Bluetooth,,,,899.0,MSI,,GF75448,Windows 10 Home,4.85 pounds,15.6 x 10.2 x 0.98 inches,15.6 x 10.2 x 0.98 inches,,Intel,4,DDR4 SDRAM,512 GB,ATA,,Battery Powered,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
466,15.6 Inches,1366 x 768 Pixels,1.6 core_i5_family,8 DDR4,2400 MHz,Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,"Bluetooth, 802.11b",1,1,12 Hours,569.99,HP,7FT14UA#ABA,7FT14UA#ABA,Windows 10 Home,4.75 pounds,1 x 1 x 1 inches,1 x 1 x 1 inches,Silver,Intel,1,DDR4 SDRAM,256,ESATA,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required. (included),,PC,7200,,,,,,,,
467,15.6 Inches,1920x1080,1 GHz 5x86,16 GB DDR4,3.5 GHz,256 GB SSD,AMD Raedon Vega 8 Graphics,AMD,Integrated,Bluetooth,,,10 Hours,519.0,Gateway,Gateway,GWTN,Windows 10 Home,2.48 pounds,20 x 9.6 x 0.8 inches,20 x 9.6 x 0.8 inches,Blue,AMD,2,DDR4 SDRAM,,Solid State,No Optical Drive,Battery Powered,,1920x1080,PC,,,,,,,,,
468,14 Inches,1920x1080 Pixels,4.1 GHz ryzen_7_4700u,16 GB DDR4,4.1 GHz,512 GB ssd,Integrated AMD Radeon Graphics,AMD,Integrated,Bluetooth,,,,784.0,Lenovo,IdeaPad Flex 5,IdeaPad Flex 5,Windows 10 Home,3.3 pounds,8.56 x 12.65 x 0.82 inches,8.56 x 12.65 x 0.82 inches,Graphite Grey,AMD,8,DDR4 SDRAM,512,Solid State,,Battery Powered,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
469,15.6 Inches,1920 x 1080,2.6 GHz core_i3,4 GB DDR4,3.5 GHz,256 GB SSD,Intel UHD Graphics,Intel,Integrated,"Bluetooth, 802.11b",,3,,477.0,HP,HP Notebook,15,Windows 10,3.75 pounds,12.9 x 8.9 x 0.9 inches,12.9 x 8.9 x 0.9 inches,,Intel,2,DDR4 SDRAM,256,Solid State,No Optical Drive,"Corded Electric, Battery Powered",,1920 x 1080 pixels,PC,,,,,,,,,
470,15.6 Inches,1920 x 1080 Pixels,3 GHz amd_r_series,8 GB,,256 GB SSD,NVIDIA GeForce GTX 1650,NVIDIA,Dedicated,,,,,758.0,Acer,AN515-44-R99Q,AN515-44-R99Q,Windows 10,5.29 pounds,14.3 x 10 x 0.9 inches,14.3 x 10 x 0.9 inches,Obsidian Black,AMD,2,DDR DRAM,256 GB,Solid State,,,1 Lithium ion batteries required.,,PC,,,,,,,,,
